School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Los Angeles Unified,Woodcrest Elementary,"1151 West 109th Street
Los Angeles 90044
(33.93731806900007, -118.29471933399998)",n/a, K-05,909,20.1,93.4%,18.6,646,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Parmelee Avenue Elementary,"1338 East 76th Place
Los Angeles 90001
(33.97073308900008, -118.25009952599999)",n/a, K-06,956,22.7,86.8%,21.2,745,The Music Center,Dance,,,,,
Los Angeles Unified,Mary McLeod Bethune Middle,"155 West 69th Street
Los Angeles 90003
(33.97738751700007, -118.27605928299994)",n/a, 07-08,1303,20.2,92.9%,16.4,685,Autry Museum; LA County Museum of Art,,,,,,Visual Art
Pasadena Unified,Norma Coombs Alternative,"2600 Paloma Street
Pasadena 91107
(34.159307829000056, -118.09658833699996)",2003, K-05,440,24.3,53.2%,23.8,836,Autry Museum; Pasadena Conservatory of Music; Pasadena Museum of California Art; Side Street Projects,,,,Music/Opera,,Visual Art
Westside Union Elementary,Cottonwood Elementary,"2740 West Avenue P-8
Palmdale 93551
(34.59434434000008, -118.17873808299998)",n/a, K-06,599,27.5,44.2%,25,843,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Fred E. Lull Special Education Center,"17551 Miranda Street
Encino 91316
(34.17456828600007, -118.51427972099998)",n/a, K-12,166,12.1,68.7%,12.3,845,The Music Center,,,,Music/Opera,Theatre,
Los Angeles Unified,Betty Plasencia Elementary,"1321 Cortez Street
Los Angeles 90026
(34.06629642900003, -118.25655806499998)",n/a, K-05,789,23.2,89.1%,21.3,788,Autry Museum; Los Angeles Master Chorale; Young Storytellers Foundation,,Literature,,Music/Opera,Theatre,Visual Art
Long Beach Unified,Webster Elementary,"1755 West 32nd Way
Long Beach 90810
(33.81618063800005, -118.21595556899996)",n/a, K-05,588,17.4,90.3%,16.3,835,International City Theatre,,,,,Theatre,
Arcadia Unified,Holly Avenue Elementary,"360 West Duarte Road
Arcadia 91007
(34.12757125200005, -118.04439658199999)",2011, K-05,656,24.2,22.7%,23.4,922,Armory Center for the Arts; Pasadena Conservatory of Music,,,Media Arts,,Theatre,
Little Lake City Elementary,Lakeland Elementary,"11224 Bombardier Avenue
Norwalk 90650
(33.929630291000024, -118.07691525499996)",2005, K-05,331,27.6,77.3%,28.5,846,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Amelia Earthart Continuation,"5355 Colfax Avenue
North Hollywood 91601
(34.16782815100004, -118.38779432399997)",n/a, 09-12,108,25.1,46.3%,21.6,524,artworxLA (formerly The Heart Project),Dance,Literature,,,Theatre,Visual Art
Inglewood Unified,Morningside High,"10500 South Yukon Avenue
Inglewood 90303
(33.94072351600005, -118.33515740299998)",2006, 09-12,1111,25.5,73.6%,27.2,636,Broad Stage,,,,,Theatre,
Norwalk-La Mirada Unified,Julia B. Morrison Elementary,"13510 South Maidstone
Norwalk 90650
(33.90621323200003, -118.08194758799999)",2003, K-05,648,29.5,77.9%,27.6,876,The Music Center,Dance,,,,,
Newhall,Stevenson Ranch Elementary,"25820 North Carroll Lane
Stevenson Ranch 91381
(34.390815728000064, -118.59664886499996)",n/a, K-06,940,24.7,5.5%,24.4,981,Santa Clarita PAC,,,,,Theatre,Visual Art
Pasadena Unified,John Muir High,"1905 North Lincoln Avenue
Pasadena 91103
(34.17706067100005, -118.15967305799995)",2003, 09-12,1070,23.2,77.1%,18.3,635,Light Bringer Project,,,Media Arts,,,Visual Art
Alhambra Unified,San Gabriel High,"801 Ramona Street
San Gabriel 91776
(34.09172959400007, -118.10803239599994)",2005, 08-12,2381,32.3,86.4%,27.8,811,Los Angeles Master Chorale,,,Media Arts,Music/Opera,,
Los Angeles Unified,James Monroe High,"9229 Haskell Avenue
North Hills 91343
(34.23577058200004, -118.47637310599998)",n/a, 08-12,2525,30.2,75.7%,24.8,692,Gay Men's Chorus of Los Angeles; Juliana Martinez,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Olive Vista Middle ,"14600 Tyler Street
Sylmar 91342
(34.31166908100005, -118.451559869)",n/a, 06-08,1394,22.4,89.8%,18.6,733,Museum of Contemporary Art,,,,,,Visual Art
Los Angeles Unified,Jaime Escalante Elementary,"4443 Live Oak Street
Cudahy 90201
(33.96808745000004, -118.18857574299994)",n/a, K-06,625,25,77.1%,22.3,735,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Sixth Avenue Elementary,"3109 Sixth Avenue
Los Angeles 90018
(34.02662106200006, -118.32363238999994)",n/a, K-05,746,23.1,77.9%,21.9,693,The Music Center,Dance,,,,,
Hawthorne,York,"11838 South York Avenue
Hawthorne 90250
(33.926566216000026, -118.34499658799996)",2012, K-05,596,26.3,87.1%,21.7,781,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Hooper Avenue Elementary,"1225 East 52nd Street
Los Angeles 90011
(33.995987650000075, -118.25407950699997)",n/a, 01-05,1241,23.8,76.2%,21.6,696,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Balboa Giffed/High Ability Magnet Elementary ,"17020 Labrador Street
Northridge 91325
(34.249100087000045, -118.50319144399998)",n/a, 01-05,746,27.7,22.8%,28.7,984,Autry Museum; Museum of Contemporary Art,,,,,,Visual Art
Los Angeles Unified,Palisades Charter Elementary,"800 Via de La Paz
Pacific Palisades 90272
(34.044780041000024, -118.52766081899995)",n/a, K-05,496,23.5,5.4%,20.7,946,Story Pirates,,Literature,,,Theatre,
Los Angeles Unified,Edward R. Roybal Learning Center,"1200 West Colton Street
Los Angeles 90026
(34.06223685700007, -118.25510370799998)",n/a, 09-12,1568,21.8,77.5%,19,641,The Music Center,Dance,,,Music/Opera,,
Palos Verdes Peninsula Unified,Point Vicente Elementary,"30540 Rue de La Pierre
Rancho Palos Verdes 90275
(33.75619907500004, -118.409207633)",2005, K-05,389,21.6,6.7%,19.9,947,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Montara Avenue Elementry ,"10018 Montara Avenue
South Gate 90280
(33.94404509000003, -118.21884733799999)",n/a, K-06,877,21.9,82.3%,21.7,747,Los Angeles Chamber Orchestra; Museum of Latin American Art,,,,Music/Opera,,Visual Art
Los Angeles Unified,Meyler Street Elementary,"1123 West 223rd Street
Torrance 90502
(33.82452811600007, -118.29484954199995)",n/a, K-05,824,24.3,75.4%,21.7,743,Palos Verdes Art Center,,,,,,Visual Art
Los Angeles Unified,Kester Avenue Elementary,"5353 Kester Avenue
Van Nuys 91411
(34.168340202000024, -118.45750218599994)",n/a, K-05,963,25.3,50.6%,23.2,901,Autry Museum; Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Burbank Unified,R. L. Stevenson Elementary,"3333 Oak Street
Burbank 91505
(34.158842840000034, -118.33832512599997)",2004, K-05,525,26.1,20.2%,24.4,891,Autry Museum,,,,,,Visual Art
Los Angeles Unified,"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy","7500 Marbrisa Avenue
Walnut Park 90255
(33.97147873000006, -118.23139363999996)",n/a,no data,,,,,,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Marlton,"4000 Santo Tomas Drive
Los Angeles 90008
(34.009456672000056, -118.34407502099998)",n/a, K-12,310,11,74.2%,10,543,Arts & Services for Disabled,,,,,,Visual Art
Long Beach Unified,Grant Elementary,"1225 East 64th Street
Long Beach 90805
(33.87099117300005, -118.17702517999999)",n/a, K-05,1088,29.4,90%,28,804,Dramatic Results; Museum of Latin American Art,,Literature,,,,Visual Art
Glendale Unified,Theodore Roosevelt Middle ,"222 East Acacia Avenue
Glendale 91206
(34.134733668000024, -118.25356851299995)",2008, 06-08,841,26.9,84.4%,19.7,809,Southwest Chamber Music,,,,Music/Opera,,
Los Angeles Unified,Los Angeles Teachers Preparatory Academy ,"1200 W. Colton Street
Los Angeles 90026
(34.06223685700007, -118.25510370799998)",n/a, 08-12,269,23.1,74.7%,17.9,603,Shakespeare Center of Los Angeles,,,,,Theatre,
Azusa Unified,Gladstone High,"1340 North Enid
Covina 91722
(34.104519922000065, -117.91435571599999)",n/a, 09-12,1427,27.3,74%,25,724,The Music Center,Dance,,,,,
Los Angeles Unified,New Los Angeles Charter,"1919 South Burnside Avenue
Los Angeles 90016
(34.04060515400005, -118.35777219499994)",n/a, 06-08,289,25.5,71.3%,19.9,742,Autry Museum; Virginia Avenue Project,,,Media Arts,,Theatre,Visual Art
Sulphur Springs Union,Mitchell Community Elementary,"16821 West Goodvale Street
Canyon Country 91387
(34.41924106600004, -118.43515742999995)",2011, K-06,650,23.2,42%,24.8,859,Santa Clarita PAC; Santa Clarita Shakespeare Festival,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Carlos Santana Arts Academy,"9301 Columbus Avenue
North Hills 91343
(34.23922507700007, -118.46476100199999)",n/a, K-05,569,23.7,87%,21.9,657,24th Street Theatre Company; Los Angeles Master Chorale; The Music Center,Dance,,,Music/Opera,Theatre,
Los Angeles County Office of Education,La Vida West CDS,"14500 Larch Avenue
Lawndale 90260
(33.900041188000046, -118.35026641499996)",2003,no data,,,,,,Theatre of Hearts/Youth First,,,,,,Visual Art
Duarte Unified,Royal Oaks Elementary,"2499 Royal Oaks Drive
Duarte 91010
(34.14342747100005, -117.95092438899997)",2012, K-06,540,25.8,53%,23.9,879,Autry Museum; Pasadena Conservatory of Music; Southland Opera; The Music Center,,,Media Arts,Music/Opera,,Visual Art
Los Angeles Unified,Nevin Avenue Elementary,"1569 East 32nd Street
Los Angeles 90011
(34.01219679800005, -118.24604234099996)",n/a, K-05,698,19.7,93.3%,18.4,745,Autry Museum,,,,,,Visual Art
Los Angeles Unified,State Street Elementary,"3211 Santa Ana Street
South Gate 90280
(33.96361721900007, -118.21169691299997)",n/a, K-05,446,22.1,67.9%,20.3,839,Autry Museum,,,,,,Visual Art
Los Angeles Unified,East Los Angeles Performing Arts Academy at Esteban E. Torres High No. 1,"4211 Dozier Street
Los Angeles 90063
(34.041521368000076, -118.17459028099995)",n/a, 09-12,508,26.2,82.5%,23.1,620,LA Opera; Shakespeare Center of Los Angeles; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,
Culver City Unified,Culver City Middle,"4601 Elenda Street
Culver City 90230
(34.00741831500005, -118.40167752299999)",2003, 06-08,1527,30.5,44.3%,26.1,873,Cindy Actors' Gang; Iles-Nelson; The Music Center; Will Geer Theatricum Botanicum; Young Storytellers Foundation,,Literature,Media Arts,,Theatre,Visual Art
Las Virgenes Unified,Mariposa Elementary School of Global Education,"6050 North Calmfield Avenue
Agoura 91301
(34.16090283300008, -118.75622783299997)",2009, K-06,300,23.1,5%,22.4,806,Story Pirates,,Literature,,,Theatre,
Los Angeles Unified,Multnomah Street Elementary,"2101 North Indiana Avenue
Los Angeles 90032
(34.06816082100005, -118.19271243399999)",n/a, K-05,516,22.3,78.3%,22.4,834,Skirball Cultural Center; The Music Center,Dance,,,,,Visual Art
Los Angeles Unified,Crescent Heights Boulevard Elementary,"1661 South Crescent Heights
Los Angeles 90035
(34.04714896300004, -118.37364141999996)",n/a, K-05,373,22,79.1%,20.7,822,Autry Museum; Dancing Classrooms Los Angeles; Skirball Cultural Center; Young Storytellers Foundation,Dance,Literature,,,Theatre,Visual Art
La Canada Unified,La Canada Elementary,"4540 Encinas Drive
La Canada 91011
(34.20869907600007, -118.20611684999994)",n/a, K-06,607,27.7,1%,22.1,975,Autry Museum,,,,,,Visual Art
Los Angeles Unified,International Studies Learning Center,"5225 Tweedy Boulevard
South Gate 90280
(33.94104800500003, -118.17897608299995)",n/a, 06-12,861,30.6,70.4%,25.9,731,Broad Stage; Skirball Cultural Center,,,Media Arts,,Theatre,
Claremont Unified,Vista del Valle Elementary,"550 Vista Drive
Claremont 91711
(34.08671104700005, -117.72172852499995)",2010, K-06,288,25.8,69.1%,23.8,877,The Music Center,,,,Music/Opera,,
Baldwin Park Unified,Santa Fe Elementary,"4650 Baldwin Park Boulevard
Baldwin Park 91706
(34.09682131000005, -117.96488498299999)",n/a, 03-08,373,27.9,72.7%,23.3,886,Autry Museum,,,,,,Visual Art
Burbank Unified,Providencia Elementary,"1919 North Ontario Street
Burbank 91505
(34.18871726900005, -118.34468309999994)",2004, K-05,402,25.1,58%,24.4,859,Education Through Music-Los Angeles; Museum of Contemporary Art; Broad Stage,,,,Music/Opera,,Visual Art
Lawndale Elementary,Mark Twain Elementary,"3728 West 154th Street
Lawndale 90260
(33.89097452400006, -118.33855247899999)",2008, K-05,521,26.1,59.3%,24.2,880,P.S. ARTS; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
San Gabriel Unified,Coolidge Elementary,"421 North Mission Drive
San Gabriel 91775
(34.10903596500003, -118.11160875699994)",2010, K-05,398,26.4,30.9%,25.2,902,Side Street Projects,,,,,,Visual Art
Los Angeles Unified,Frederick Douglass Academy Middle ,"3200 West Adams Boulevard
Los Angeles 90018
(34.03261292700006, -118.31895873499997)",n/a, 05-08,310,26.4,58.7%,34.4,675,Los Angeles Choreographers & Dancers,Dance,,,,,
Santa Monica-Malibu Unified,Roosevelt Elementary,"801 Montana Avenue
Santa Monica 90403
(34.02769304100008, -118.50080198999996)",2003, K-05,794,24.1,11.1%,23.4,946,art innovators; Broad Stage; Davida Raffa; Francisco Martinez; LA Opera; Morgan-Wixson Theatre; The Music Center,Dance,,Media Arts,Music/Opera,Theatre,Visual Art
Santa Monica-Malibu Unified,Lincoln Middle,"1501 California Avenue
Santa Monica 90403
(34.02902671700008, -118.48947572099996)",2003, 06-08,1058,22.8,18.3%,22.6,907,"Museum of Contemporary Art; Spirit Series, Inc.",,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles County Office of Education,Jonas Salk CDS,"14600 Cerise Avenue
Hawthorne 90250
(33.899168290000034, -118.33301329799997)",2003,no data,,,,,,Theatre of Hearts/Youth First,,,,,,Visual Art
Los Angeles Unified,Gledhill Street Elementary,"16030 Gledhill Street
North Hills 91343
(34.24188343700007, -118.48248019899995)",n/a, K-05,587,21.7,67.6%,21,839,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Temple City Unified,Oak Avenue Intermediate,"6623 Oak Avenue
Temple City 91780
(34.119564113000024, -118.06790187699994)",2008, 07-08,946,28.5,40.3%,23.5,934,Pasadena Symphony Association; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,
Long Beach Unified,Jefferson Leadership Academies,"750 Euclid Avenue
Long Beach 90804
(33.77624696700008, -118.14914541399997)",n/a, 06-08,914,26.2,92.2%,20.8,736,Long Beach Opera,,,,Music/Opera,,
Covina-Valley Unified,Cypress Elementary,"351 West Cypress Avenue
Covina 91723
(34.09578514200007, -117.841272146)",2012, K-05,665,22.5,72.9%,21.9,805,The Music Center,Dance,,,,Theatre,
Los Angeles Unified,Gratts Learning Academy for Young Scholars (GLAYS),"309 Lucas Avenue
Los Angeles 90017
(34.05799370900007, -118.26184091199997)",n/a, 02-06,627,22.4,89.3%,20.2,751,The Music Center,Dance,,,,,
Los Angeles Unified,New Open World Academy,"701 South Catalina Street
Los Angeles 90005
(34.05967078000003, -118.29544025299998)",n/a, K-12,1030,22.8,87%,19.4,709,Autry Museum; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,George Washington Carver Middle,"4410 McKinley Avenue
Los Angeles 90011
(34.00282068100006, -118.26084685799998)",n/a, 05-08,1132,20.2,86.9%,16.8,637,Autry Museum; Broad Stage; Shakespeare Center of Los Angeles; The Music Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,James A. Garfield Senior High,"4343 New York Street
Los Angeles 90022
(34.03968793800004, -118.17214996499996)",n/a, 09-12,2542,24.1,88%,18.7,710,826LA,,Literature,,,,
Los Angeles Unified,Independence Continuation,"6501 Balboa Boulevard
Van Nuys 91406
(34.18887417700006, -118.50114132399995)",n/a, 09-12,124,17.3,37.9%,22.5,566,Skirball Cultural Center,,,,,,Visual Art
Redondo Beach Unified,Tulita Elementary,"1520 Prospect Avenue
Redondo Beach 90277
(33.82060748600003, -118.37686709399998)",2007, K-05,457,25.3,15.5%,22.3,929,Beth Sussman; The Music Center,Dance,,,Music/Opera,,
Centinela Valley Union High,Lawndale High,"14901 South Inglewood Avenue
Lawndale 90260
(33.89633307400004, -118.36134866499998)",2013, 08-12,2155,28.8,79.5%,23.6,756,Broad Stage,,,Media Arts,,Theatre,
Culver City Unified,Linwood E. Howe Elementary,"4100 Irving Place
Culver City 90232
(34.021668023000075, -118.39277825299996)",2003, K-05,540,22.5,45.7%,21.2,862,24th Street Theatre Company; Actors' Gang; Beth Sussman; Symphonic Jazz Orchestra; The Music Center; Young Storytellers Foundation,,Literature,,Music/Opera,Theatre,Visual Art
Long Beach Unified,Bixby Elementary,"5251 East Stearns Street
Long Beach 90815
(33.79607119100007, -118.13121869899999)",n/a, K-05,576,27.4,51.2%,23,850,Arts Council for Long Beach; Carpenter Performing Arts Center; International City Theatre; Long Beach Symphony Orchestra,Dance,,,Music/Opera,Theatre,
Los Angeles Unified,Gabriella Charter,"1435 Logan Street
Los Angeles 90026
(34.079108768000026, -118.25730806699994)",n/a, K-08,426,24.8,88.3%,20.3,892,826LA; Autry Museum; Diavolo Dance Theater; Heidi Duckler Dance Theatre; Skirball Cultural Center; The Music Center,Dance,Literature,,,,Visual Art
Pomona Unified,Madison Elementary,"351 West Phillips Boulevard
Pomona 91766
(34.04429821700006, -117.74665031599994)",2007, K-06,638,23.6,96.2%,21.3,709,American Museum of Ceramic Art,,,,,,Visual Art
Glendale Unified,Woodrow Wilson Middle,"1221 Monterey Road
Glendale 91206
(34.15524220200007, -118.23845698599996)",2008, 06-08,1391,31.8,55.9%,25.4,882,Southwest Chamber Music; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,
Los Angeles Unified,Chandler Elementary,"14030 Weddington Street
Van Nuys 91401
(34.16662330300005, -118.439769722)",n/a, K-05,511,21.1,63.4%,20.9,873,Music Unlocks Success In Children Foundation,,,,Music/Opera,,
Compton Unified,Vanguard Learning Center,"13305 South San Pedro Street
Los Angeles 90061
(33.911497799000074, -118.26968738899996)",2004, 06-08,296,16.8,70.9%,13.5,705,The Music Center,,,,Music/Opera,,
Los Angeles Unified,Tulsa Street Elementary,"10900 Hayvenhurst Avenue
Granada Hills 91344
(34.27000026600007, -118.49342572399996)",n/a, K-05,513,22.3,67.1%,22.8,857,Autry Museum; Los Angeles Chamber Orchestra; The Music Center,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Second Street Elementary,"1942 East Second Street
Los Angeles 90033
(34.04526498200005, -118.21714080899994)",n/a, K-06,433,21.6,90.5%,19.7,747,24th Street Theatre Company; Autry Museum,,,,,Theatre,Visual Art
Saugus Union,Plum Canyon Elementary,"28360 North Alfred Way
Saugus 91350
(34.44805605100004, -118.48528578099996)",2007, K-06,758,26.1,13.5%,25.3,899,"Santa Clarita Artists' Association, Inc; The Music Center",Dance,,,,,Visual Art
Los Angeles Unified,West Hollywood Elementary,"970 North Hammond Street
West Hollywood 90069
(34.08905885900003, -118.38762447999994)",n/a, K-06,363,22.6,17.1%,20.2,932,24th Street Theatre Company; Autry Museum; Dancing Classrooms Los Angeles; Education Through Music-Los Angeles; Skirball Cultural Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Ingenium Charter Middle,"22250 Elkwood Street
Canoga Park 91304
(34.21277480200007, -118.61158660499996)",n/a, K-06,255,28,69.8%,23.2,808,Autry Museum,,,,,,Visual Art
